Time,PrimT,HwActive,ChActive,ActPow,HwTOutlet,PrimTSet,HwTSet
2017-11-28T01:05:36.958Z,,,,,32.4,,0
2017-11-28T01:05:46.959Z,,,,,32.4,,0
2017-11-28T01:05:56.956Z,,,,,32.3,,0
2017-11-28T01:06:06.960Z,,,,,32.3,,0
2017-11-28T01:06:17.415Z,46.5,,,,32.3,,0
2017-11-28T01:06:26.959Z,,,,,32.3,,0
2017-11-28T01:06:36.967Z,,,,,32.3,,0
2017-11-28T01:06:46.960Z,,,,,32.3,,0
2017-11-28T01:06:56.960Z,,,,,32.2,,0
2017-11-28T01:07:06.964Z,46.4,,,,32.2,,0
2017-11-28T01:07:17.211Z,,,,,32.2,,0
2017-11-28T01:07:26.960Z,,,,,32.2,,0
2017-11-28T01:07:36.958Z,,,,,32.2,,0
2017-11-28T01:07:46.957Z,,,,,32.2,,0
2017-11-28T01:07:56.958Z,46.3,,,,32.1,,0
2017-11-28T01:08:06.956Z,,,,,32.1,,0
2017-11-28T01:08:17.069Z,,,,,32.1,,0
2017-11-28T01:08:26.956Z,,,,,32.1,,0
2017-11-28T01:08:36.963Z,,,,,32.1,,0
2017-11-28T01:08:46.955Z,46.2,,,,32.1,,0
2017-11-28T01:08:56.960Z,,,,,32,,0
2017-11-28T01:09:06.955Z,,,,,32,,0
2017-11-28T01:09:17.135Z,,,,,32,,0
2017-11-28T01:09:26.960Z,,,,,32,,0
2017-11-28T01:09:36.962Z,,,,,32,,0
2017-11-28T01:09:46.961Z,46.1,,,,31.9,,0
2017-11-28T01:09:57.016Z,46.3,0,2,,31.9,57,0
2017-11-28T01:10:06.962Z,53.2,,,35,31.9,,0
2017-11-28T01:10:17.434Z,54.4,,,30,31.9,,0
2017-11-28T01:10:26.961Z,53.6,,,29,31.9,,0
2017-11-28T01:10:36.959Z,53.9,,,,31.8,,0
2017-11-28T01:10:46.964Z,53.3,,,30,31.9,,0
2017-11-28T01:10:56.957Z,52.4,,,29,31.8,,0
2017-11-28T01:11:06.959Z,51.2,,,30,31.8,,0
2017-11-28T01:11:17.290Z,51,,,29,31.8,,0
2017-11-28T01:11:26.961Z,50.9,,,29,31.8,,0
2017-11-28T01:11:36.970Z,,,,30,31.8,,0
2017-11-28T01:11:46.992Z,51,,,,31.8,,0
2017-11-28T01:11:56.959Z,51.5,,,32,31.6,,0
2017-11-28T01:12:06.956Z,52.4,,,34,31.6,,0
2017-11-28T01:12:17.386Z,53.6,,,,31.6,,0
2017-11-28T01:12:26.959Z,54.6,,,35,31.6,,0
