Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T01:04:17.294Z,23.4,,0,,,,
2018-01-30T01:04:27.272Z,23.4,,0,,,,
2018-01-30T01:04:37.272Z,23.4,,0,,,,
2018-01-30T01:04:47.361Z,23.4,,0,,,,
2018-01-30T01:04:57.271Z,23.4,39.7,0,,,,
2018-01-30T01:05:07.272Z,23.4,,0,,,,
2018-01-30T01:05:17.271Z,23.4,,0,,,,
2018-01-30T01:05:27.271Z,23.4,,0,,,,
2018-01-30T01:05:37.271Z,23.4,,0,,,,
2018-01-30T01:05:47.362Z,23.4,,0,,,,
2018-01-30T01:05:57.280Z,23.4,,0,,,,
2018-01-30T01:06:07.273Z,23.4,,0,,,,
2018-01-30T01:06:17.301Z,23.3,,0,,,,
2018-01-30T01:06:27.282Z,23.3,39.6,0,,,,
2018-01-30T01:06:37.272Z,23.3,,0,,,,
2018-01-30T01:06:47.372Z,23.3,,0,,,,
2018-01-30T01:06:57.279Z,23.3,,0,,,,
2018-01-30T01:07:07.272Z,23.3,,0,,,,
2018-01-30T01:07:17.284Z,23.3,,0,,,,
2018-01-30T01:07:27.272Z,23.3,,0,,,,
2018-01-30T01:07:37.271Z,23.3,,0,,,,
2018-01-30T01:07:47.362Z,23.3,,0,,,,
2018-01-30T01:07:57.273Z,23.3,39.5,0,,,,
2018-01-30T01:08:07.275Z,23.3,,0,,,,
2018-01-30T01:08:17.278Z,23.3,,0,,,,
2018-01-30T01:08:27.277Z,23.3,,0,,,,
2018-01-30T01:08:37.272Z,23.3,,0,,,,
2018-01-30T01:08:47.367Z,23.3,,0,,,,
2018-01-30T01:08:57.272Z,23.3,,0,,,,
2018-01-30T01:09:07.272Z,23.2,,0,,,,
2018-01-30T01:09:17.282Z,23.3,39.4,0,,,,
2018-01-30T01:09:27.272Z,23.2,,0,,,,
2018-01-30T01:09:37.272Z,23.2,,0,,,,
2018-01-30T01:09:47.377Z,23.2,,0,,,,
2018-01-30T01:09:57.286Z,23.2,,0,,,,
2018-01-30T01:10:07.322Z,23.2,,0,,,,
2018-01-30T01:10:17.508Z,23.2,,0,,,,
2018-01-30T01:10:27.274Z,23.2,,0,,,,
2018-01-30T01:10:37.278Z,23.2,,0,,,,
2018-01-30T01:10:47.490Z,23.2,,0,,,,
2018-01-30T01:10:57.273Z,23.2,39.3,0,,,,
2018-01-30T01:11:07.276Z,23.2,,0,,,,
2018-01-30T01:11:17.507Z,23.2,,0,,,,
2018-01-30T01:11:27.272Z,23.2,,0,,,,
2018-01-30T01:11:37.277Z,23.2,,0,,,,
2018-01-30T01:11:47.367Z,23.2,,0,,,,
2018-01-30T01:11:57.275Z,23.1,,0,,,,
2018-01-30T01:12:07.273Z,23.2,,0,,,,
2018-01-30T01:12:17.275Z,23.2,,0,,,,
2018-01-30T01:12:27.273Z,23.2,39.2,0,,,,
2018-01-30T01:12:37.280Z,23.1,,0,,,,
