Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T01:24:28.902Z,0,,,,21.3,,
2018-01-19T01:24:38.903Z,0,,,,21.3,,
2018-01-19T01:24:48.903Z,0,,,,21.3,,
2018-01-19T01:24:58.905Z,0,,,,21.3,,
2018-01-19T01:25:08.903Z,0,,,,21.3,,
2018-01-19T01:25:18.903Z,0,,36.4,,21.3,,
2018-01-19T01:25:28.903Z,0,,,,21.3,,
2018-01-19T01:25:38.905Z,0,,,,21.3,,
2018-01-19T01:25:48.905Z,0,,,,21.3,,
2018-01-19T01:25:58.904Z,0,,,,21.3,,
2018-01-19T01:26:08.903Z,0,,,,21.3,,
