Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T01:17:18.413Z,,,,0,22.7,,
2017-11-08T01:17:28.501Z,,,,0,22.7,,
2017-11-08T01:17:38.418Z,,,,0,22.7,,
2017-11-08T01:17:48.412Z,,,,0,22.7,,
2017-11-08T01:17:58.411Z,,,,0,22.7,,
2017-11-08T01:18:08.410Z,,,,0,22.7,,
2017-11-08T01:18:18.411Z,,,,0,22.7,,
2017-11-08T01:18:28.492Z,,37.7,,0,22.7,,
2017-11-08T01:18:38.411Z,,,,0,22.7,,
2017-11-08T01:18:48.411Z,,,,0,22.7,,
2017-11-08T01:18:58.411Z,,,,0,22.7,,
2017-11-08T01:19:08.416Z,,,,0,22.7,,
2017-11-08T01:19:18.411Z,,,,0,22.7,,
2017-11-08T01:19:28.613Z,,,,0,22.7,,
2017-11-08T01:19:38.412Z,,,,0,22.7,,
2017-11-08T01:19:48.418Z,,,,0,22.7,,
2017-11-08T01:19:58.411Z,,,,0,22.7,,
2017-11-08T01:20:08.411Z,,37.6,,0,22.6,,
2017-11-08T01:20:18.616Z,,,,0,22.6,,
2017-11-08T01:20:28.491Z,,,,0,22.7,,
2017-11-08T01:20:38.420Z,,,,0,22.7,,
2017-11-08T01:20:48.414Z,,,,0,22.7,,
2017-11-08T01:20:58.606Z,,,,0,22.6,,
