Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T01:13:36.243Z,0,,2,47.7,0,,31.9
2017-11-25T01:13:46.242Z,0,38,2,52.6,0,,31.9
2017-11-25T01:13:56.416Z,,29,,56.4,0,,31.9
2017-11-25T01:14:06.245Z,,29,,57.3,0,,31.9
2017-11-25T01:14:16.244Z,,,,58.3,0,,31.9
2017-11-25T01:14:26.242Z,,,,59,0,,31.9
2017-11-25T01:14:36.247Z,,,,59.6,0,,31.9
2017-11-25T01:14:46.246Z,,30,,59.9,0,,31.9
2017-11-25T01:14:56.336Z,,29,,60,0,,31.9
2017-11-25T01:15:06.246Z,,30,,59.7,0,,31.9
2017-11-25T01:15:16.243Z,,,,59.5,0,,32
2017-11-25T01:15:26.243Z,,,,59.4,0,,31.9
2017-11-25T01:15:36.250Z,,,,59.5,0,,32
2017-11-25T01:15:46.246Z,,,,,0,,32
2017-11-25T01:15:56.339Z,,29,,59.6,0,,31.9
2017-11-25T01:16:06.246Z,,,,60,0,,32
2017-11-25T01:16:16.246Z,,,,60.5,0,,32
2017-11-25T01:16:26.246Z,0,0,2,59.9,0,,32
2017-11-25T01:16:36.248Z,,,,55.7,0,,32
2017-11-25T01:16:46.248Z,,,,54.5,0,,32
