Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T01:12:22.559Z,,,0,14.7,,,
2017-12-29T01:12:32.563Z,,,0,14.8,,,
2017-12-29T01:12:42.569Z,,,0,14.7,,,
2017-12-29T01:12:52.560Z,,,0,14.7,,,
2017-12-29T01:13:02.560Z,,,0,14.7,,,
2017-12-29T01:13:12.560Z,,,0,14.7,,,
2017-12-29T01:13:22.560Z,,,0,14.7,,,
2017-12-29T01:13:32.559Z,,,0,14.7,,,
2017-12-29T01:13:42.560Z,,,0,14.7,,,
2017-12-29T01:13:52.559Z,,,0,14.7,,,
2017-12-29T01:14:02.560Z,,,0,14.7,,,
2017-12-29T01:14:12.560Z,,,0,14.7,,,
2017-12-29T01:14:22.560Z,,,0,14.7,,,
2017-12-29T01:14:32.559Z,,,0,14.7,,,
2017-12-29T01:14:42.560Z,,,0,14.7,,,
2017-12-29T01:14:52.560Z,,,0,14.7,,,
2017-12-29T01:15:02.562Z,,,0,14.7,,,
2017-12-29T01:15:12.560Z,,,0,14.7,,,
2017-12-29T01:15:22.562Z,,,0,14.7,,,
2017-12-29T01:15:32.560Z,,,0,14.7,,,
2017-12-29T01:15:42.560Z,,,0,14.7,,,
2017-12-29T01:15:52.559Z,,,0,14.7,,,
2017-12-29T01:16:02.560Z,,,0,14.7,,,
2017-12-29T01:16:12.560Z,,,0,14.7,,,
2017-12-29T01:16:22.562Z,,,0,14.7,,,
2017-12-29T01:16:32.559Z,,,0,14.7,,,
2017-12-29T01:16:42.562Z,,,0,14.7,,,
2017-12-29T01:16:52.560Z,,,0,14.7,,,
2017-12-29T01:17:02.561Z,,,0,14.7,,,
2017-12-29T01:17:12.559Z,,,0,14.7,,,
2017-12-29T01:17:22.562Z,,,0,14.7,,,
2017-12-29T01:17:32.560Z,,,0,14.7,,,
2017-12-29T01:17:42.560Z,,,0,14.7,,,
2017-12-29T01:17:52.560Z,,,0,14.7,,,
2017-12-29T01:18:02.560Z,,,0,14.7,,,
2017-12-29T01:18:12.560Z,,,0,14.7,,,
2017-12-29T01:18:22.560Z,,,0,14.7,,,
2017-12-29T01:18:32.560Z,,,0,14.7,,,
2017-12-29T01:18:42.560Z,,,0,14.7,,,
2017-12-29T01:18:52.561Z,,,0,14.7,,,
2017-12-29T01:19:02.562Z,,,0,14.7,,,
2017-12-29T01:19:12.560Z,,,0,14.7,,,
2017-12-29T01:19:22.560Z,,,0,14.7,,,
2017-12-29T01:19:32.560Z,,,0,14.7,,,
2017-12-29T01:19:42.562Z,,,0,14.7,,15.5,
2017-12-29T01:19:52.560Z,,,0,14.7,,15.7,
2017-12-29T01:20:02.560Z,,,0,14.7,,15.5,
2017-12-29T01:20:12.560Z,,,0,14.7,,15.7,
2017-12-29T01:20:22.560Z,,,0,14.7,,15.5,
2017-12-29T01:20:32.563Z,,,0,14.7,,,
2017-12-29T01:20:42.562Z,,,0,14.7,,,
2017-12-29T01:20:52.562Z,,,0,14.7,,,
2017-12-29T01:21:02.561Z,,,0,14.7,,,
2017-12-29T01:21:12.561Z,,,0,14.7,,,
2017-12-29T01:21:22.561Z,,,0,14.7,,15.7,
2017-12-29T01:21:32.562Z,,,0,14.7,,15.5,
2017-12-29T01:21:42.563Z,,,0,14.7,,,
2017-12-29T01:21:52.562Z,,,0,14.7,,,
2017-12-29T01:22:02.560Z,,,0,14.7,,,
2017-12-29T01:22:12.561Z,,,0,14.7,,,
2017-12-29T01:22:22.560Z,,,0,14.7,,,
2017-12-29T01:22:32.563Z,,,0,14.7,,,
2017-12-29T01:22:42.562Z,,,0,14.7,,,
2017-12-29T01:22:52.560Z,,,0,14.7,,,
2017-12-29T01:23:02.560Z,0,5,0,14.7,0,15.5,0
2017-12-29T01:23:12.560Z,,,0,14.7,,,
2017-12-29T01:23:22.561Z,,,0,14.7,,,
2017-12-29T01:23:32.564Z,,,0,14.7,,,
2017-12-29T01:23:42.560Z,,,0,14.7,,,
2017-12-29T01:23:52.561Z,,,0,14.7,,,
2017-12-29T01:24:02.560Z,,,0,14.7,,,
2017-12-29T01:24:12.564Z,,,0,14.7,,,
2017-12-29T01:24:22.561Z,,,0,14.7,,,
2017-12-29T01:24:32.564Z,,,0,14.7,,,
2017-12-29T01:24:42.561Z,,,0,14.7,,,
2017-12-29T01:24:52.560Z,,,0,14.7,,,
2017-12-29T01:25:02.560Z,,,0,14.7,,,
2017-12-29T01:25:12.561Z,,,0,14.7,,,
2017-12-29T01:25:22.560Z,,,0,14.7,,,
2017-12-29T01:25:32.561Z,,,0,14.7,,,
2017-12-29T01:25:42.561Z,,,0,14.7,,,
2017-12-29T01:25:52.561Z,,,0,14.7,,,
2017-12-29T01:26:02.561Z,,,0,14.7,,,
2017-12-29T01:26:12.561Z,,,0,14.7,,,
2017-12-29T01:26:22.561Z,,,0,14.7,,,
2017-12-29T01:26:32.563Z,,,0,14.7,,,
2017-12-29T01:26:42.561Z,,,0,14.7,,,
2017-12-29T01:26:52.560Z,,,0,14.7,,,
2017-12-29T01:27:02.561Z,,,0,14.7,,,
2017-12-29T01:27:12.561Z,,,0,14.7,,,
2017-12-29T01:27:22.561Z,,,0,14.7,,,
2017-12-29T01:27:32.561Z,,,0,14.7,,,
2017-12-29T01:27:42.561Z,,,0,14.7,,,
2017-12-29T01:27:52.561Z,,,0,14.7,,,
2017-12-29T01:28:02.563Z,,,0,14.7,,,
2017-12-29T01:28:12.562Z,,,0,14.7,,,
2017-12-29T01:28:22.561Z,,,0,14.7,,,
2017-12-29T01:28:32.561Z,,,0,14.7,,,
2017-12-29T01:28:42.561Z,,,0,14.7,,,
2017-12-29T01:28:52.561Z,,,0,14.7,,,
2017-12-29T01:29:02.561Z,,,0,14.7,,,
2017-12-29T01:29:12.703Z,,,0,14.7,,,
2017-12-29T01:29:22.561Z,,,0,14.7,,,
2017-12-29T01:29:32.561Z,,,0,14.7,,,
2017-12-29T01:29:42.561Z,,,0,14.7,,,
2017-12-29T01:29:52.561Z,,,0,14.7,,,
2017-12-29T01:30:02.561Z,,,0,14.7,,,
2017-12-29T01:30:12.561Z,,,0,14.7,,,
2017-12-29T01:30:22.561Z,,,0,14.7,,,
2017-12-29T01:30:32.562Z,,,0,14.7,,,
2017-12-29T01:30:42.561Z,,,0,14.7,,,
2017-12-29T01:30:52.566Z,,,0,14.7,,,
2017-12-29T01:31:02.561Z,,,0,14.7,,,
2017-12-29T01:31:12.561Z,,,0,14.7,,,
2017-12-29T01:31:22.561Z,,,0,14.5,,,
2017-12-29T01:31:32.561Z,,,0,14.7,,,
2017-12-29T01:31:42.561Z,,,0,14.7,,,
2017-12-29T01:31:52.565Z,,,0,14.7,,,
2017-12-29T01:32:02.561Z,,,0,14.7,,,
2017-12-29T01:32:12.561Z,,,0,14.5,,,
2017-12-29T01:32:22.563Z,,,0,14.7,,,
2017-12-29T01:32:32.597Z,,,0,14.7,,,
2017-12-29T01:32:42.562Z,,,0,14.7,,,
2017-12-29T01:32:52.561Z,,,0,14.7,,,
2017-12-29T01:33:02.562Z,,,0,14.7,,,
2017-12-29T01:33:12.564Z,,,0,14.7,,,
2017-12-29T01:33:22.561Z,,,0,14.7,,,
2017-12-29T01:33:32.562Z,,,0,14.5,,,
2017-12-29T01:33:42.561Z,,,0,14.7,,,
2017-12-29T01:33:52.561Z,,,0,14.7,,,
2017-12-29T01:34:02.561Z,,,0,14.7,,,
2017-12-29T01:34:12.564Z,,,0,14.5,,,
2017-12-29T01:34:22.562Z,,,0,14.7,,,
2017-12-29T01:34:32.561Z,,,0,14.7,,,
2017-12-29T01:34:42.562Z,,,0,14.7,,,
2017-12-29T01:34:52.562Z,,,0,14.7,,,
2017-12-29T01:35:02.564Z,,,0,14.5,,15.4,
2017-12-29T01:35:12.564Z,,,0,14.5,,15.5,
2017-12-29T01:35:22.564Z,,,0,14.7,,,
2017-12-29T01:35:32.562Z,,,0,14.5,,,
2017-12-29T01:35:42.563Z,,,0,14.5,,,
2017-12-29T01:35:52.561Z,,,0,14.7,,,
2017-12-29T01:36:02.562Z,,,0,14.5,,,
2017-12-29T01:36:12.562Z,,,0,14.7,,,
2017-12-29T01:36:22.562Z,,,0,14.5,,,
2017-12-29T01:36:32.561Z,,,0,14.5,,15.4,
2017-12-29T01:36:42.562Z,,,0,14.5,,15.5,
2017-12-29T01:36:52.565Z,,,0,14.5,,,
2017-12-29T01:37:02.646Z,,,0,14.7,,15.4,
2017-12-29T01:37:12.564Z,,,0,14.5,,,
2017-12-29T01:37:22.562Z,,,0,14.7,,,
2017-12-29T01:37:32.562Z,,,0,14.5,,15.5,
2017-12-29T01:37:42.562Z,,,0,14.5,,15.4,
2017-12-29T01:37:52.562Z,,,0,14.5,,15.5,
2017-12-29T01:38:02.562Z,,,0,14.5,,,
2017-12-29T01:38:12.562Z,,,0,14.5,,,
2017-12-29T01:38:22.562Z,,,0,14.5,,15.4,
2017-12-29T01:38:32.563Z,,,0,14.5,,,
2017-12-29T01:38:42.562Z,,,0,14.5,,,
2017-12-29T01:38:52.565Z,,,0,14.5,,15.5,
2017-12-29T01:39:02.562Z,,,0,14.5,,15.4,
2017-12-29T01:39:12.562Z,,,0,14.5,,,
