Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T01:06:26.833Z,,0,,23.2,,,
2018-01-28T01:06:36.832Z,,0,,23.2,,,
2018-01-28T01:06:56.838Z,,0,,23.2,,,
2018-01-28T01:07:06.838Z,,0,,23.1,,,
2018-01-28T01:07:16.846Z,,0,,23.2,,,
2018-01-28T01:07:26.862Z,,0,,23.1,,,
2018-01-28T01:07:36.832Z,,0,,23.1,,,
2018-01-28T01:07:47.048Z,,0,,23.1,,,
2018-01-28T01:07:56.838Z,,0,,23.1,34.7,,
2018-01-28T01:08:06.832Z,,0,,23.1,,,
2018-01-28T01:08:16.837Z,,0,,23.1,,,
2018-01-28T01:08:26.833Z,,0,,23.1,,,
2018-01-28T01:08:36.832Z,,0,,23.1,,,
2018-01-28T01:08:51.927Z,,0,,23.1,,,
2018-01-28T01:08:56.835Z,,0,,23.1,,,
2018-01-28T01:09:07.050Z,,0,,23.1,,,
2018-01-28T01:09:16.833Z,,0,,23.1,,,
2018-01-28T01:09:26.838Z,,0,,23.1,,,
2018-01-28T01:09:46.842Z,,0,,23.1,34.6,,
2018-01-28T01:09:56.833Z,5,0,0,23.1,34.6,0,0
2018-01-28T01:10:06.972Z,,0,,23.1,,,
2018-01-28T01:10:16.836Z,,0,,23.1,,,
2018-01-28T01:10:27.017Z,,0,,23.1,,,
2018-01-28T01:10:36.833Z,,0,,23.1,,,
2018-01-28T01:10:57.030Z,,0,,23.1,,,
2018-01-28T01:11:06.833Z,,0,,23,,,
2018-01-28T01:11:16.833Z,,0,,23,,,
2018-01-28T01:11:26.833Z,,0,,23,,,
2018-01-28T01:11:36.838Z,,0,,23.1,,,
2018-01-28T01:11:46.838Z,,0,,23,34.5,,
2018-01-28T01:11:56.864Z,,0,,23,,,
2018-01-28T01:12:07.022Z,,0,,23,,,
2018-01-28T01:12:16.887Z,,0,,23,,,
2018-01-28T01:12:26.833Z,,0,,23,,,
2018-01-28T01:12:36.833Z,,0,,23,,,
2018-01-28T01:12:46.833Z,,0,,23,,,
2018-01-28T01:13:06.837Z,,0,,23,,,
2018-01-28T01:13:16.833Z,,0,,23,,,
2018-01-28T01:13:26.834Z,,0,,23,,,
2018-01-28T01:13:36.838Z,,0,,23,,,
2018-01-28T01:13:46.834Z,,0,,23,,,
2018-01-28T01:13:57.317Z,,0,,23,34.4,,
2018-01-28T01:14:07.161Z,,0,,23,,,
2018-01-28T01:14:16.846Z,,0,,23,,,
2018-01-28T01:14:26.863Z,,0,,23,,,
2018-01-28T01:14:36.834Z,,0,,23,,,
2018-01-28T01:14:47.011Z,,0,,23,,,
2018-01-28T01:14:57.041Z,,0,,23,,,
2018-01-28T01:15:06.838Z,,0,,23,,,
2018-01-28T01:15:16.835Z,,0,,23,,,
2018-01-28T01:15:26.833Z,,0,,23,,,
2018-01-28T01:15:36.834Z,,0,,23,,,
2018-01-28T01:15:46.847Z,,0,,23,,,
2018-01-28T01:15:56.838Z,,0,,23,34.3,,
2018-01-28T01:16:06.833Z,,0,,23,,,
2018-01-28T01:16:16.836Z,,0,,23,,,
2018-01-28T01:16:26.835Z,,0,,23,,,
2018-01-28T01:16:36.833Z,,0,,23,,,
2018-01-28T01:16:46.834Z,,0,,22.8,,,
2018-01-28T01:17:02.131Z,,0,,23,,,
2018-01-28T01:17:16.835Z,,0,,22.8,,,
2018-01-28T01:17:26.834Z,,0,,22.8,,,
2018-01-28T01:17:36.834Z,,0,,22.8,,,
2018-01-28T01:17:46.835Z,,0,,22.8,,,
2018-01-28T01:17:56.859Z,,0,,22.8,,,
2018-01-28T01:18:06.835Z,,0,,22.8,34.2,,
2018-01-28T01:18:16.834Z,,0,,22.8,,,
2018-01-28T01:18:31.935Z,,0,,22.8,,,
2018-01-28T01:18:36.834Z,,0,,22.8,,,
2018-01-28T01:18:46.834Z,,0,,22.8,,,
2018-01-28T01:18:56.958Z,,0,,22.8,,,
2018-01-28T01:19:07.080Z,,0,,22.8,,,
2018-01-28T01:19:16.834Z,,0,,22.8,,,
2018-01-28T01:19:26.834Z,,0,,22.8,,,
2018-01-28T01:19:36.834Z,,0,,22.8,,,
2018-01-28T01:19:46.835Z,,0,,22.8,,,
2018-01-28T01:20:06.845Z,,0,,22.8,,,
2018-01-28T01:20:16.835Z,,,,,34.1,,
2018-01-28T01:20:26.836Z,,0,,22.8,,,
2018-01-28T01:20:36.837Z,,0,,22.8,,,
2018-01-28T01:20:56.834Z,,0,,22.7,,,
2018-01-28T01:21:06.837Z,,0,,22.7,,,
2018-01-28T01:21:16.842Z,,0,,22.7,,,
2018-01-28T01:21:26.834Z,,0,,22.7,,,
2018-01-28T01:21:36.835Z,,0,,22.7,,,
2018-01-28T01:21:56.834Z,,0,,22.7,,,
2018-01-28T01:22:06.834Z,,0,,22.7,34,,
2018-01-28T01:22:17.003Z,,0,,22.7,34.1,,
2018-01-28T01:22:26.834Z,,0,,22.7,,,
2018-01-28T01:22:36.834Z,,0,,22.7,34,,
2018-01-28T01:22:46.839Z,,0,,22.7,,,
2018-01-28T01:22:56.863Z,,0,,22.7,,,
2018-01-28T01:23:16.835Z,,0,,22.7,,,
