Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T01:06:46.480Z,,34.8,,0,43.1,,
2017-11-26T01:06:56.481Z,,34.8,,0,44.1,,
2017-11-26T01:07:06.483Z,,34.8,,0,44.7,,
2017-11-26T01:07:16.482Z,1,34.8,45,0,45.1,0,
2017-11-26T01:07:26.482Z,,34.7,33,0,51.1,,
2017-11-26T01:07:36.481Z,,34.7,29,0,52.2,,
2017-11-26T01:07:46.480Z,,34.7,,0,52.3,,
2017-11-26T01:07:56.481Z,,34.7,,0,52.2,,
2017-11-26T01:08:06.480Z,,34.7,,0,51.9,,
2017-11-26T01:08:16.481Z,,34.7,,0,51.5,,
2017-11-26T01:08:26.482Z,,34.6,,0,51.2,,
2017-11-26T01:08:36.486Z,,34.6,,0,51.1,,
2017-11-26T01:08:46.482Z,,34.6,30,0,,,
2017-11-26T01:08:56.481Z,,34.6,,0,51.3,,
2017-11-26T01:09:06.481Z,,34.5,31,0,52,,
2017-11-26T01:09:16.481Z,,34.5,34,0,53.1,,
2017-11-26T01:09:26.486Z,,34.5,35,0,54.4,,
2017-11-26T01:09:36.482Z,,34.5,38,0,55.6,,
2017-11-26T01:09:46.512Z,,34.5,39,0,57,,
2017-11-26T01:09:56.481Z,,34.4,40,0,58.1,,
2017-11-26T01:10:06.481Z,,34.4,40,0,59,,
2017-11-26T01:10:16.483Z,,34.4,41,0,59.6,,
2017-11-26T01:10:26.482Z,,34.4,,0,60.1,,
2017-11-26T01:10:36.486Z,,34.4,,0,60.5,,
2017-11-26T01:10:46.484Z,,34.3,,0,60.7,,
2017-11-26T01:10:56.481Z,,34.3,,0,60.9,,
2017-11-26T01:11:06.483Z,,34.3,40,0,61.3,,
2017-11-26T01:11:16.483Z,,34.3,36,0,61.6,,
2017-11-26T01:11:26.481Z,,34.3,32,0,61.2,,
2017-11-26T01:11:36.488Z,,34.3,31,0,60.8,,
2017-11-26T01:11:46.486Z,,34.3,32,0,,,
2017-11-26T01:11:56.481Z,,34.3,31,0,61.2,,
2017-11-26T01:12:06.481Z,,34.2,29,0,61.4,,
2017-11-26T01:12:16.482Z,,34.2,,0,61.6,,
2017-11-26T01:12:26.485Z,,34.2,30,0,62,,
2017-11-26T01:12:36.483Z,,34.2,29,0,62.5,,
2017-11-26T01:12:46.487Z,,34.2,,0,62.9,,
2017-11-26T01:12:56.484Z,,34.2,29,0,63.3,,
2017-11-26T01:13:06.483Z,,34.2,30,0,63.8,,
