Time,HwTSet,HwActive,HwTOutlet,ChActive,PrimT,ActPow,PrimTSet
2017-12-19T01:08:53.281Z,55,,48.1,,52.8,,
2017-12-19T01:09:03.278Z,55,,48,,52.7,,
2017-12-19T01:09:13.278Z,55,,48,,52.4,,
2017-12-19T01:09:23.278Z,55,,47.8,,52.2,,
2017-12-19T01:09:33.278Z,55,,47.7,,51.9,,
2017-12-19T01:09:44.272Z,55,0,47.7,2,54.3,80,
2017-12-19T01:09:53.278Z,55,,47.6,,60.2,51,
2017-12-19T01:10:03.278Z,55,,47.6,,61,38,
2017-12-19T01:10:13.278Z,55,,47.5,,59.9,30,
2017-12-19T01:10:23.278Z,55,,47.4,,58.8,29,
2017-12-19T01:10:33.278Z,55,,47.4,,56.9,,
2017-12-19T01:10:43.278Z,55,,47.3,,56.8,,
2017-12-19T01:10:53.279Z,55,,47.3,,56.4,,
2017-12-19T01:11:03.278Z,55,,47.2,,57,,
2017-12-19T01:11:13.279Z,55,,47.2,,57.1,,
2017-12-19T01:11:23.278Z,55,,47,,57.2,,
2017-12-19T01:11:33.279Z,55,,47,,57.3,,
2017-12-19T01:11:43.279Z,55,,47,,,,
2017-12-19T01:11:53.279Z,55,,46.9,,57.4,,
2017-12-19T01:12:03.279Z,55,,46.9,,57.6,,
2017-12-19T01:12:13.280Z,55,,46.9,,57.7,,
2017-12-19T01:12:23.278Z,55,,46.9,,57.8,,
2017-12-19T01:12:34.277Z,55,,46.9,,57.9,,
2017-12-19T01:12:43.279Z,55,,46.9,,,,
2017-12-19T01:12:53.279Z,55,,46.9,,58,,
2017-12-19T01:13:03.279Z,55,,47,,,,
2017-12-19T01:13:13.279Z,55,,47,,58.1,,
2017-12-19T01:13:23.279Z,55,,47,,58.3,,
2017-12-19T01:13:33.296Z,55,,47,,58.4,,
2017-12-19T01:13:43.297Z,55,,47.2,,,,
2017-12-19T01:13:53.294Z,55,,47.2,,58.6,,
2017-12-19T01:14:03.278Z,55,,47.2,,,,
2017-12-19T01:14:13.278Z,55,,47.2,,58.7,,
2017-12-19T01:14:23.280Z,55,,47.3,,58.8,,
2017-12-19T01:14:33.278Z,55,,47.3,,59,,
2017-12-19T01:14:43.278Z,55,,47.3,,59.1,,
2017-12-19T01:14:53.278Z,55,,47.4,,59.2,,
2017-12-19T01:15:03.280Z,55,,47.4,,,,
2017-12-19T01:15:13.279Z,55,,47.4,,59.3,,
2017-12-19T01:15:28.300Z,55,,47.5,,59.4,,
2017-12-19T01:15:33.279Z,55,,47.5,,59.5,,
2017-12-19T01:15:43.279Z,55,,47.5,,59.7,,
2017-12-19T01:15:53.279Z,55,,47.6,,59.8,,
2017-12-19T01:16:03.279Z,55,,47.6,,59.9,,
2017-12-19T01:16:13.281Z,55,,47.7,,60,,
2017-12-19T01:16:23.279Z,55,,47.7,,,,
2017-12-19T01:16:33.280Z,55,,47.7,,60.1,,
2017-12-19T01:16:43.279Z,55,,47.8,,60.2,,
2017-12-19T01:16:53.684Z,55,,47.8,,,,
2017-12-19T01:17:03.279Z,55,,47.8,,60.4,,
2017-12-19T01:17:13.279Z,55,,48,,60.5,,
2017-12-19T01:17:23.280Z,55,,48,,60.6,,
2017-12-19T01:17:33.280Z,55,,48,,60.7,,
2017-12-19T01:17:43.279Z,55,,48.1,,,,
2017-12-19T01:17:53.279Z,55,,48.1,,61,,
2017-12-19T01:18:03.280Z,55,,48.2,,61,,
2017-12-19T01:18:18.299Z,55,,48.2,,,,
