Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T01:17:08.769Z,,,54,23.6,,,
2017-12-21T01:17:18.665Z,,,54,23.7,,,
2017-12-21T01:17:28.666Z,,,54,23.6,,,
2017-12-21T01:17:38.666Z,,,54,23.7,,,
2017-12-21T01:17:48.667Z,,,54,23.7,,,
2017-12-21T01:17:58.664Z,,,54,23.7,,,
2017-12-21T01:18:08.768Z,,,54,23.7,,,
2017-12-21T01:18:18.668Z,,,54,23.7,,,
2017-12-21T01:18:28.664Z,,,54,23.6,,,
2017-12-21T01:18:38.669Z,,,54,23.6,,,
