Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T01:15:16.951Z,,29,,40.4,18.8,,54
2018-01-10T01:15:26.990Z,,,,40.5,18.9,,54
2018-01-10T01:15:36.956Z,,30,,40.7,19,,54
2018-01-10T01:15:46.936Z,,29,,40.8,19.2,,54
2018-01-10T01:15:56.942Z,,30,,41,19.3,,54
2018-01-10T01:16:06.942Z,,29,,41.1,19.6,,54
2018-01-10T01:16:17.076Z,,,,41.3,19.6,,54
2018-01-10T01:16:26.988Z,,,,41.5,19.8,,54
2018-01-10T01:16:37.024Z,,,,41.6,19.8,,54
2018-01-10T01:16:46.969Z,,,,41.8,20,,54
2018-01-10T01:16:56.964Z,,,,42,20.1,,54
2018-01-10T01:17:07.024Z,,,,42.1,20.2,,54
2018-01-10T01:17:16.943Z,,,,42.2,20.4,,54
2018-01-10T01:17:26.956Z,,,,42.4,20.4,,54
2018-01-10T01:17:36.943Z,,,,42.6,20.4,,54
2018-01-10T01:17:46.967Z,,,,42.7,20.5,,54
2018-01-10T01:17:56.963Z,,,,43,20.6,,54
2018-01-10T01:18:06.937Z,,,,,20.6,,54
2018-01-10T01:18:16.939Z,,,,43.2,20.8,,54
2018-01-10T01:18:26.980Z,,,,43.3,20.9,,54
2018-01-10T01:18:36.944Z,,,,43.5,20.9,,54
2018-01-10T01:18:46.972Z,,,,43.6,21.1,,54
2018-01-10T01:18:56.938Z,,,,43.8,21.1,,54
2018-01-10T01:19:07.026Z,,,,44,21.2,,54
2018-01-10T01:19:16.949Z,,,,,21.3,,54
2018-01-10T01:19:26.963Z,,,,44.2,21.3,,54
2018-01-10T01:19:36.946Z,,,,44.3,21.5,,54
2018-01-10T01:19:46.957Z,,,,44.4,21.5,,54
2018-01-10T01:19:56.947Z,1,0,0,44.6,21.6,,54
2018-01-10T01:20:06.946Z,,,,41.9,21.7,,54
2018-01-10T01:20:16.981Z,,,,40.9,21.7,,54
2018-01-10T01:20:26.998Z,,,,40.2,21.6,,54
2018-01-10T01:20:36.973Z,,,,39.8,21.2,,54
