Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T01:17:43.382Z,29,52,,,,,
2017-11-19T01:17:53.382Z,29,52,,,,,
2017-11-19T01:18:13.382Z,29,52,,,,,
2017-11-19T01:18:23.382Z,,,,,,35.3,
2017-11-19T01:18:33.381Z,29,52,,,,,
2017-11-19T01:18:43.383Z,29,52,,,,,
2017-11-19T01:18:53.382Z,29,52,,,,,
2017-11-19T01:19:03.462Z,29,52,,,,,
2017-11-19T01:19:23.382Z,29,52,,,,,
2017-11-19T01:19:33.382Z,29,52,,,,,
2017-11-19T01:19:43.385Z,29,52,,,,,
2017-11-19T01:19:53.381Z,29,52,,,,35.2,
2017-11-19T01:20:03.462Z,29,52,,,,,
2017-11-19T01:20:23.382Z,29,52,,,,,
2017-11-19T01:20:33.381Z,29,52,,58,1,,0
2017-11-19T01:20:43.382Z,29,52,,,,,
2017-11-19T01:20:53.386Z,29,52,,,,,
2017-11-19T01:21:03.461Z,29,52,,,,,
2017-11-19T01:21:23.381Z,29,52,,,,,
2017-11-19T01:21:33.383Z,29,52,,,,35.1,
2017-11-19T01:21:43.383Z,29,52,,,,,
2017-11-19T01:22:03.462Z,29,52,,,,,
2017-11-19T01:22:13.382Z,29,52,,,,,
2017-11-19T01:22:23.383Z,29,52,,,,,
2017-11-19T01:22:33.383Z,29,52,,,,34.9,
2017-11-19T01:22:53.382Z,29,52,,,,34.9,
2017-11-19T01:23:13.384Z,29,52,,,,,
2017-11-19T01:23:33.384Z,28.9,52,,,,,
2017-11-19T01:23:53.386Z,28.9,52,,,,,
2017-11-19T01:24:03.522Z,28.9,52,,,,,
2017-11-19T01:24:23.407Z,28.9,52,,,,,
2017-11-19T01:24:33.402Z,28.9,52,,,,34.8,
2017-11-19T01:24:43.385Z,28.9,52,,,,,
2017-11-19T01:24:53.387Z,28.9,52,,,,,
2017-11-19T01:25:03.462Z,28.9,52,,,,,
2017-11-19T01:25:23.386Z,28.9,52,,,,,
2017-11-19T01:25:33.385Z,28.9,52,,,,,
2017-11-19T01:25:43.384Z,28.9,52,,,,,
2017-11-19T01:26:03.461Z,28.9,52,,,,,
2017-11-19T01:26:13.383Z,,,,,,34.7,
2017-11-19T01:26:23.381Z,28.9,52,,,,,
2017-11-19T01:26:33.383Z,28.9,52,44,,1,35.8,0
2017-11-19T01:26:43.385Z,28.9,52,32,,,41.1,
2017-11-19T01:26:53.385Z,,,31,,,41.2,
2017-11-19T01:27:03.461Z,28.9,52,29,,,38.7,
2017-11-19T01:27:13.381Z,28.9,52,,,,38.3,
2017-11-19T01:27:23.385Z,,,30,,,37.2,
2017-11-19T01:27:33.385Z,28.9,52,29,,,34.6,
2017-11-19T01:27:43.385Z,28.9,52,,,,,
2017-11-19T01:27:53.386Z,,,,,,34.4,
2017-11-19T01:28:03.463Z,28.7,52,,,,34.9,
2017-11-19T01:28:13.386Z,,,,,,35.1,
2017-11-19T01:28:23.385Z,28.9,52,,,,35.4,
2017-11-19T01:28:33.384Z,28.9,52,,,,36,
2017-11-19T01:28:43.386Z,28.9,52,,,,36.2,
2017-11-19T01:28:53.381Z,28.9,52,,,,36.3,
2017-11-19T01:29:03.464Z,,,,,,36.5,
2017-11-19T01:29:13.382Z,28.7,52,,,,,
2017-11-19T01:29:23.383Z,28.9,52,,,,36.7,
2017-11-19T01:29:33.381Z,28.9,52,29,,,37.2,
2017-11-19T01:29:43.382Z,28.9,52,,,,37.4,
2017-11-19T01:29:53.381Z,28.9,52,30,,,37.6,
2017-11-19T01:30:03.462Z,,,29,,,37.7,
2017-11-19T01:30:13.381Z,28.7,52,,,,,
2017-11-19T01:30:23.381Z,28.9,52,30,,,38,
2017-11-19T01:30:33.383Z,28.9,52,0,,1,38.4,0
2017-11-19T01:30:43.381Z,28.9,52,,,,37.7,
2017-11-19T01:30:53.382Z,,,,,,35.7,
2017-11-19T01:31:03.461Z,28.9,52,,,,,
2017-11-19T01:31:13.381Z,,,,,,34.2,
2017-11-19T01:31:23.381Z,28.9,52,,,,33.9,
2017-11-19T01:31:33.441Z,28.9,52,,,,33.6,
2017-11-19T01:31:43.381Z,28.9,52,,,,,
2017-11-19T01:31:53.381Z,28.9,52,,,,,
2017-11-19T01:32:03.461Z,28.9,52,,,,,
2017-11-19T01:32:23.381Z,28.9,52,,,,,
2017-11-19T01:32:33.383Z,28.9,52,,,,33.4,
2017-11-19T01:32:43.384Z,28.9,52,,,,33.3,
2017-11-19T01:32:53.381Z,28.9,52,,,,,
2017-11-19T01:33:03.461Z,28.9,52,,,,,
2017-11-19T01:33:23.385Z,28.9,52,,,,,
2017-11-19T01:33:33.386Z,28.9,52,,,,,
2017-11-19T01:33:43.381Z,28.9,52,,,,33.2,
2017-11-19T01:33:53.381Z,28.9,52,,,,,
2017-11-19T01:34:13.383Z,28.9,52,,,,,
2017-11-19T01:34:33.381Z,29,52,,,,,
2017-11-19T01:34:53.381Z,28.9,52,,,,33.1,
2017-11-19T01:35:03.461Z,29,52,,,,,
2017-11-19T01:35:23.381Z,28.9,52,,,,,
2017-11-19T01:35:33.381Z,29,52,,,,33.1,
2017-11-19T01:35:43.381Z,29,52,,,,33.2,
2017-11-19T01:35:53.381Z,28.9,52,,,,33.1,
2017-11-19T01:36:03.461Z,29,52,,,,,
2017-11-19T01:36:13.382Z,,,,,,33.2,
2017-11-19T01:36:23.382Z,28.9,52,,,,,
2017-11-19T01:36:33.382Z,29,52,,,,,
2017-11-19T01:36:43.381Z,29,52,,,,,
2017-11-19T01:37:03.461Z,29,52,,,,,
