Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T01:09:31.243Z,,,,,,44.8,
2018-01-18T01:09:41.244Z,,50,,31.2,,44.9,
2018-01-18T01:09:51.243Z,,50,,31.2,,45,
2018-01-18T01:10:01.243Z,,50,,31.2,30,45.1,
2018-01-18T01:10:11.246Z,,50,,31.3,,,
2018-01-18T01:10:21.324Z,,,,,29,,
2018-01-18T01:10:31.245Z,,50,,31.2,,45.4,
2018-01-18T01:10:41.245Z,,50,,31.3,,,
2018-01-18T01:10:51.243Z,,,,,,45.6,
2018-01-18T01:11:01.245Z,,50,,31.3,30,45.8,
2018-01-18T01:11:11.245Z,,50,,31.3,30,46.1,
2018-01-18T01:11:21.437Z,,50,,31.3,,,
2018-01-18T01:11:41.245Z,1,50,0,31.3,0,45.8,
2018-01-18T01:11:51.246Z,,50,,31.3,,43.2,
2018-01-18T01:12:01.249Z,,50,,31.3,,42,
2018-01-18T01:12:11.249Z,,50,,31.3,,41.6,
2018-01-18T01:12:21.329Z,,50,,31.3,,,
2018-01-18T01:12:31.243Z,,,,,,41.4,
2018-01-18T01:12:41.243Z,,50,,31.3,,,
2018-01-18T01:12:51.247Z,,50,,31.3,,,
2018-01-18T01:13:01.244Z,,50,,31.3,,41.3,
2018-01-18T01:13:11.243Z,,50,,31.4,,41.1,
2018-01-18T01:13:21.323Z,,50,,31.4,,,
2018-01-18T01:13:31.247Z,,50,,31.4,,40.9,
2018-01-18T01:13:41.274Z,,50,,31.4,,,
2018-01-18T01:13:51.279Z,,,,,,40.8,
2018-01-18T01:14:01.244Z,,50,,31.4,,,
2018-01-18T01:14:11.243Z,,50,,31.4,,40.7,
2018-01-18T01:14:21.325Z,,50,,31.4,,,
2018-01-18T01:14:41.243Z,,50,,31.4,,40.5,
2018-01-18T01:14:51.243Z,,50,,31.4,,,
2018-01-18T01:15:01.243Z,,50,,31.4,,,
2018-01-18T01:15:11.243Z,,50,,31.4,,,
2018-01-18T01:15:21.323Z,,50,,31.4,,,
2018-01-18T01:15:31.243Z,,50,,31.5,,,
2018-01-18T01:15:41.243Z,,50,,31.5,,,
2018-01-18T01:15:51.243Z,,50,,31.5,,,
2018-01-18T01:16:01.243Z,,50,,31.5,,,
2018-01-18T01:16:11.243Z,,50,,31.5,,40.4,
2018-01-18T01:16:21.324Z,,50,,31.5,,,
2018-01-18T01:16:31.243Z,,50,,31.5,,40.5,
2018-01-18T01:16:41.243Z,,50,,31.5,,40.4,
2018-01-18T01:16:51.243Z,,50,,31.5,,40.5,
2018-01-18T01:17:01.243Z,,50,,31.5,,40.4,
2018-01-18T01:17:11.243Z,,50,,31.5,,40.5,
2018-01-18T01:17:21.323Z,,50,,31.5,,,
2018-01-18T01:17:31.243Z,,50,,31.5,,,
2018-01-18T01:17:41.243Z,,50,,31.5,,,
2018-01-18T01:17:51.244Z,,50,,31.5,,,
