Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T01:18:23.359Z,52,,,,,,32.5
2017-11-20T01:18:33.345Z,52,,,,,,32.4
2017-11-20T01:18:43.346Z,52,,,,,,32.4
2017-11-20T01:19:03.389Z,52,,,,,,32.4
2017-11-20T01:19:13.346Z,52,,,,35.3,,32.3
2017-11-20T01:19:23.345Z,52,,,,,,32.3
2017-11-20T01:19:33.345Z,52,,,,35.2,,32.3
2017-11-20T01:19:43.345Z,52,,,,,,32.2
2017-11-20T01:20:03.425Z,52,,,,,,32.2
2017-11-20T01:20:13.346Z,52,,,,,,32.1
2017-11-20T01:20:23.346Z,52,,,,,,32.1
2017-11-20T01:20:33.345Z,,,,,35.1,,
2017-11-20T01:20:43.345Z,52,,,,,,32
2017-11-20T01:20:53.345Z,52,,,,,,32
2017-11-20T01:21:13.345Z,52,,,,34.9,,32
2017-11-20T01:21:23.350Z,52,,,,,,31.9
2017-11-20T01:21:33.347Z,52,,,,,,31.9
2017-11-20T01:21:53.345Z,52,,,,,,31.9
2017-11-20T01:22:13.345Z,52,,,,,,31.8
2017-11-20T01:22:23.345Z,,,,,34.8,,
2017-11-20T01:22:33.347Z,52,,,,,,31.8
2017-11-20T01:22:43.345Z,52,,,,,,31.6
2017-11-20T01:23:03.435Z,52,,,,,,31.6
2017-11-20T01:23:13.346Z,52,,,,,,31.5
2017-11-20T01:23:23.345Z,52,,,,34.7,,31.5
2017-11-20T01:23:33.345Z,52,,,,,,31.5
2017-11-20T01:23:53.345Z,,58,0,2,,,
2017-11-20T01:24:03.445Z,52,,,,,,31.4
2017-11-20T01:24:13.349Z,52,5,0,0,,,31.4
2017-11-20T01:24:23.346Z,52,,,,,,31.4
2017-11-20T01:24:43.348Z,52,,,,,,31.3
2017-11-20T01:25:03.426Z,52,,,,,,31.3
2017-11-20T01:25:13.346Z,52,,,,34.6,,31.2
2017-11-20T01:25:23.347Z,52,,,,,,31.2
2017-11-20T01:25:43.345Z,52,,,,,,31.2
2017-11-20T01:26:03.429Z,52,,,,,,31
2017-11-20T01:26:13.346Z,52,,,,,,31
2017-11-20T01:26:23.345Z,52,,,,,,31
2017-11-20T01:26:33.345Z,52,,,,34.5,,30.9
2017-11-20T01:26:43.346Z,52,,,,,,30.9
2017-11-20T01:26:53.345Z,,,,,34.6,,
2017-11-20T01:27:03.483Z,52,,,,,,30.9
2017-11-20T01:27:13.345Z,52,,,,34.5,,30.9
2017-11-20T01:27:23.345Z,52,,,,,,30.8
2017-11-20T01:27:33.345Z,52,,,,,,30.8
2017-11-20T01:27:43.345Z,52,,,,,,30.8
2017-11-20T01:28:03.459Z,52,,,,,,30.8
2017-11-20T01:28:13.346Z,52,,,,,,30.7
2017-11-20T01:28:23.353Z,52,,,,,,30.7
2017-11-20T01:28:43.346Z,52,,,,,,30.7
2017-11-20T01:29:03.430Z,52,,,,,,30.7
2017-11-20T01:29:13.356Z,52,,,,34.4,,30.6
2017-11-20T01:29:23.351Z,52,,,,,,30.6
2017-11-20T01:29:43.352Z,52,,,,,,30.6
2017-11-20T01:30:03.455Z,52,,,,,,30.4
2017-11-20T01:30:13.345Z,52,,,,,,30.4
2017-11-20T01:30:23.345Z,52,,,,,,30.4
2017-11-20T01:30:33.345Z,52,,,,,,30.3
2017-11-20T01:30:43.345Z,52,,,,,,30.3
2017-11-20T01:31:03.425Z,52,,,,,,30.3
2017-11-20T01:31:13.345Z,52,,,,,,30.3
2017-11-20T01:31:23.345Z,52,,,,,,30.3
2017-11-20T01:31:33.345Z,,,,,34.3,,
2017-11-20T01:31:43.345Z,52,,,,,,30.2
2017-11-20T01:31:53.345Z,,,,,34.4,,
2017-11-20T01:32:03.426Z,52,,,,,,30.2
2017-11-20T01:32:13.345Z,52,,,,34.3,,30.2
2017-11-20T01:32:23.345Z,52,,,,,,30.1
2017-11-20T01:32:43.345Z,52,,,,,,30.1
2017-11-20T01:33:03.425Z,52,,,,,,30.1
2017-11-20T01:33:13.345Z,52,,,,,,30.1
2017-11-20T01:33:23.348Z,52,,,,,,30
2017-11-20T01:33:43.345Z,52,,,,,,30
